model,loss,r20,dataset,lr_patience,lr,early_stop_patience,lr_scheduler,best_epoch,weight_decay,dropout_dec,dl_frame,n100,dropout_enc,anneal_cap,batch_size,r50,p_dims
vae,366.644,0.375,movielens,5,0.001,20,False,18,0.0,"[0., 0.]",Mxnet,0.403,"[0.5, 0.]",0.08,512,0.52,"[200,600]"
vae,85.31,0.118,amazon,5,0.001,20,False,8,0.0,"[0., 0.]",Mxnet,0.09,"[0.5, 0.]",0.0,512,0.179,"[200,600]"
dae,86.743,0.111,amazon,5,0.001,20,False,6,0.0,"[0.,0.,0.]",Mxnet,0.084,"[0.5,0.,0.]",NA,512,0.174,"[256,512,1024]"
dae,348.841,0.393,movielens,20,0.005,30,True,184,0.0,"[0., 0.]",Mxnet,0.424,"[0.5, 0.]",NA,512,0.536,"[200, 600]"
dae,124.269,0.026,amazon,5,0.001,20,False,19,0.001,"[0., 0.]",Mxnet,0.021,"[0.2, 0.]",NA,512,0.047,"[100,300]"
dae,365.871,0.38,movielens,5,0.001,20,False,83,0.0,"[0., 0.]",Mxnet,0.41,"[0.5, 0.]",NA,512,0.522,"[50,150]"
dae,77.793,0.12,amazon,5,0.001,20,False,24,0.0,"[0., 0.]",Mxnet,0.089,"[0.5, 0.]",NA,512,0.178,"[300,900]"
dae,94.038,0.103,amazon,5,0.001,20,False,18,0.0,"[0.2,0.2,0.2]",Mxnet,0.078,"[0.5,0.2,0.2]",NA,512,0.162,"[256,512,1024]"
dae,350.73,0.389,movielens,5,0.001,20,False,62,0.0,"[0., 0.]",Mxnet,0.416,"[0.5, 0.]",NA,512,0.53,"[200,600]"
dae,362.363,0.378,movielens,5,0.001,20,False,23,0.0,"[0.,0.,0.]",Mxnet,0.403,"[0.5,0.,0.]",NA,512,0.524,"[256,512,1024]"
dae,454.864,0.162,movielens,20,0.005,30,True,101,0.001,"[0., 0.]",Mxnet,0.191,"[0.2, 0.]",NA,512,0.233,"[200, 600]"
dae,85.985,0.119,amazon,5,0.001,20,False,18,0.0,"[0., 0.]",Mxnet,0.09,"[0.5, 0.]",NA,512,0.182,"[100,300]"
dae,87.295,0.119,amazon,5,0.001,20,False,30,0.0,"[0., 0.]",Mxnet,0.09,"[0.5, 0.]",NA,512,0.181,"[50,150]"
dae,369.925,0.376,movielens,5,0.001,20,False,84,0.0,"[0.2,0.2,0.2]",Mxnet,0.402,"[0.5,0.2,0.2]",NA,512,0.52,"[256,512,1024]"
dae,80.999,0.118,amazon,5,0.001,20,False,13,0.0,"[0., 0.]",Mxnet,0.089,"[0.5, 0.]",NA,512,0.18,"[200,600]"
dae,78.066,0.123,amazon,20,0.005,30,True,47,0.0,"[0., 0.]",Mxnet,0.09,"[0.5, 0.]",NA,512,0.182,"[100,300]"
dae,357.58,0.388,movielens,5,0.001,20,False,76,0.0,"[0., 0.]",Mxnet,0.416,"[0.5, 0.]",NA,512,0.529,"[100,300]"
dae,124.269,0.024,amazon,5,0.001,20,False,1,0.001,"[0., 0.]",Mxnet,0.02,"[0.5, 0.]",NA,512,0.047,"[100,300]"
dae,455.625,0.16,movielens,5,0.001,20,False,11,0.001,"[0., 0.]",Mxnet,0.189,"[0.5, 0.]",NA,512,0.234,"[200, 600]"
dae,347.313,0.385,movielens,5,0.001,20,False,49,0.0,"[0., 0.]",Mxnet,0.415,"[0.5, 0.]",NA,512,0.528,"[300,900]"
